name,country,field,year
Christiaan Eijkman, Netherlands, Physiology or Medicine, 1929
Willem Einthoven, Netherlands, Physiology or Medicine, 1924
Heike Kamerlingh Onnes, Netherlands, Physics, 1913
Tobias Asser, Netherlands, Peace, 1911
Johannes Diderik van der Waals, Netherlands, Physics, 1910
Pieter Zeeman, Netherlands, Physics, 1902
Hendrik Lorentz, Netherlands, Physics, 1902
Jacobus Henricus van 't Hoff, Netherlands, Chemistry, 1901
Alan MacDiarmid, New Zealand, Chemistry, 2000
Maurice Wilkins, New Zealand, Physiology or Medicine, 1962
Wole Soyinka, Nigeria, Literature, 1986
May-Britt Moser, Norway, Physiology or Medicine, 2014
Edvard Moser, Norway, Physiology or Medicine, 2014
Finn E. Kydland, Norway, Economics, 2004
Trygve Haavelmo, Norway, Economics, 1989
Ivar Giaever, Norway, Physics, 1973
Ragnar Frisch, Norway, Economics, 1969
Odd Hassel, Norway, Chemistry, 1969
Lars Onsager, Norway, Chemistry, 1968
Sigrid Undset, Norway, Literature, 1928
Fridtjof Nansen, Norway, Peace, 1922
Christian Lous Lange, Norway, Peace, 1921
Knut Hamsun, Norway, Literature, 1920
Bjørnstjerne Bjørnson, Norway, Literature, 1903
Malala Yousafzai, Pakistan, Peace, 2014
Abdus Salam, Pakistan, Physics, 1979
Yasser Arafat, Israel, Peace, 1994
Mario Vargas Llosa, Peru, Literature, 2010
Leonid Hurwicz, Poland, Economics, 2007
Wisława Szymborska, Poland, Literature, 1996
Joseph Rotblat, Poland, Peace, 1995
Lech Wałęsa, Poland, Peace, 1983
Roald Hoffmann, Poland, Chemistry, 1981
Isaac Bashevis Singer, Poland, Literature, 1978
Andrew Schally, Poland, Medicine, 1977
Konrad Emil Bloch, Poland, Physics, 1964
Maria Göppert-Mayer, Poland, Physics, 1963
Tadeusz Reichstein, Poland, Physiology or Medicine, 1950
Isidor Isaac Rabi, Poland, Physics, 1944
Władysław Reymont, Poland, Literature, 1924
Marie Skłodowska-Curie, Poland, Chemistry, 1911
Albert A. Michelson, Poland, Physics, 1907
Henryk Sienkiewicz, Poland, Literature, 1905
José de Sousa Saramago, Portugal, Literature, 1998
António Egas Moniz, Portugal, Physiology or Medicine, 1949
Elie Wiesel, Romania, Peace, 1986
George E. Palade, Romania, Physiology or Medicine, 1974
Konstantin Novoselov, Russia, Physics, 2010
Alexei Alexeyevich Abrikosov, Russia, Physics, 2003
Vitaly Ginzburg, Russia, Physics, 2003
Mikhail Gorbachev, Russia, Peace, 1990
Joseph Brodsky, Russia, Literature, 1987
Pyotr Kapitsa, Russia, Physics, 1978
Andrei Sakharov, Russia, Peace, 1975
Leonid Kantorovich, Russia, Economics, 1975
Aleksandr Solzhenitsyn, Russia, Literature, 1970
Mikhail Sholokhov, Russia, Literature, 1965
Nikolay Basov, Russia, Physics, 1964
Boris Pasternak, Russia, Literature, 1958
Pavel Cherenkov, Russia, Physics, 1958
Igor Tamm, Russia, Physics, 1958
Ilya Mikhailovich Frank, Russia, Physics, 1958
Nikolay Semyonov, Russia, Chemistry, 1956
Élie Metchnikoff, Russia, Physiology or Medicine, 1908
Ivan Pavlov, Russia, Physiology or Medicine, 1904
J. M. Coetzee, South Africa, Literature, 2003
Sydney Brenner, South Africa, Physiology or Medicine, 2002
F. W. de Klerk, South Africa, Peace, 1993
Nelson Mandela, South Africa, Peace, 1993
Nadine Gordimer, South Africa, Literature, 1991
Desmond Tutu, South Africa, Peace, 1984
Allan M. Cormack, South Africa, Physiology or Medicine, 1979
Albert Lutuli, South Africa, Peace, 1960
Max Theiler, South Africa, Physiology or Medicine, 1951
Kim Dae-jung, South Korea, Peace, 2000
Camilo José Cela, Spain, Literature, 1989
Vicente Aleixandre, Spain, Literature, 1977
Severo Ochoa, Spain, Physiology or Medicine, 1959
Juan Ramón Jiménez, Spain, Literature, 1956
Jacinto Benavente, Spain, Literature, 1922
Santiago Ramón y Cajal, Spain, Physiology or Medicine, 1906
José Echegaray, Spain, Literature, 1904
Tomas Lindahl, Sweden, Chemistry, 2015
Tomas Tranströmer, Sweden, Literature, 2011
Arvid Carlsson, Sweden, Physiology or Medicine, 2000
Alva Myrdal, Sweden, Peace, 1982
Sune Bergström, Sweden, Physiology or Medicine, 1982
Bengt I. Samuelsson, Sweden, Physiology or Medicine, 1982
Kai Siegbahn, Sweden, Physics, 1981
Torsten Wiesel, Sweden, Physiology or Medicine, 1981
Bertil Ohlin, Sweden, Economics, 1977
Eyvind Johnson, Sweden, Literature, 1974
Harry Martinson, Sweden, Literature, 1974
Gunnar Myrdal, Sweden, Economics, 1974
Ulf von Euler, Sweden, Physiology or Medicine, 1970
Hannes Alfvén, Sweden, Physics, 1970
Dag Hammarskjöld, Sweden, Peace, 1961
Pär Lagerkvist, Sweden, Literature, 1951
Arne Tiselius, Sweden, Chemistry, 1948
Erik Axel Karlfeldt, Sweden, Literature, 1931
Nathan Söderblom, Sweden, Peace, 1930
Theodor Svedberg, Sweden, Chemistry, 1926
Karl Manne Siegbahn, Sweden, Physics, 1924
Hjalmar Branting, Sweden, Peace, 1921
Carl Gustaf Verner von Heidenstam, Sweden, Literature, 1916
Gustaf Dalén, Sweden, Physics, 1912
Allvar Gullstrand, Sweden, Physiology or Medicine, 1911
Selma Lagerlöf, Sweden, Literature, 1909
Klas Pontus Arnoldson, Sweden, Peace, 1908
Svante Arrhenius, Sweden, Chemistry, 1903
Kurt Wüthrich, Switzerland, Chemistry, 2002
Rolf M. Zinkernagel, Switzerland, Physiology or Medicine, 1996
Richard R. Ernst, Switzerland, Chemistry, 1991
Karl Alexander Müller, Switzerland, Physics, 1987
Heinrich Rohrer, Switzerland, Physics, 1986
Georges J. F. Köhler, Switzerland, Physiology or Medicine, 1984
Werner Arber, Switzerland, Physiology or Medicine, 1978
Felix Bloch, Switzerland, Physics, 1952
Tadeus Reichstein, Switzerland, Physiology or Medicine, 1950
Walter Rudolf Hess, Switzerland, Physiology or Medicine, 1949
Paul Hermann Müller, Switzerland, Physiology or Medicine, 1948
Hermann Hesse, Switzerland, Literature, 1946
Paul Karrer, Switzerland, Chemistry, 1937
Charles Édouard Guillaume, Switzerland, Physics, 1920
Carl Spitteler, Switzerland, Literature, 1919
Theodor Kocher, Switzerland, Physiology or Medicine, 1909
Élie Ducommun, Switzerland, Peace, 1902
Charles Albert Gobat, Switzerland, Peace, 1902
Yuan T. Lee, Taiwan, Chemistry, 1986
V. S. Naipaul, Trinidad and Tobago, Literature, 2001
Tunisian National Dialogue Quartet, Tunisia, Peace, 2015
Aziz Sancar, Turkey, Chemistry, 2015
Orhan Pamuk, Turkey, Literature, 2006
Selman Waksman, Ukraine, Physiology or Medicine, 1952
Oliver Hart, United Kingdom, Economics, 2016
Fraser Stoddart, United Kingdom, Chemistry, 2016
David J. Thouless, United Kingdom, Physics, 2016
F. Duncan M. Haldane, United Kingdom, Physics, 2016
John M. Kosterlitz, United Kingdom, Physics, 2016
Angus Deaton, United Kingdom, Economics, 2015
John O'Keefe, United Kingdom, Physiology or Medicine, 2014
Peter Higgs, United Kingdom, Physics, 2013
John B. Gurdon, United Kingdom, Physiology or Medicine, 2012
Robert G. Edwards, United Kingdom, Physiology or Medicine, 2010
Sir Martin J. Evans, United Kingdom, Physiology or Medicine, 2007
Oliver Smithies, United Kingdom, Physiology or Medicine, 2007
Harold Pinter, United Kingdom, Literature, 2005
Clive W. J. Granger, United Kingdom, Economics, 2003
Anthony J. Leggett, United Kingdom, Physics, 2003
Peter Mansfield, United Kingdom, Physiology or Medicine, 2003
John E. Sulston, United Kingdom, Physiology or Medicine, 2002
Tim Hunt, United Kingdom, Physiology or Medicine, 2001
Paul Nurse, United Kingdom, Physiology or Medicine, 2001
David Trimble, United Kingdom, Peace, 1998
John Pople, United Kingdom, Chemistry, 1998
John E. Walker, United Kingdom, Chemistry, 1997
Harold Kroto, United Kingdom, Chemistry, 1996
James A. Mirrlees, United Kingdom, Economics, 1996
Richard J. Roberts, United Kingdom, Physiology or Medicine, 1993
Ronald Coase, United Kingdom, Economics, 1991
James W. Black, United Kingdom, Physiology or Medicine, 1988
Richard Stone, United Kingdom, Economics, 1984
William Golding, United Kingdom, Literature, 1983
John Robert Vane, United Kingdom, Physiology or Medicine, 1982
Frederick Sanger, United Kingdom, Chemistry, 1980
Arthur Lewis, United Kingdom, Economics, 1979
Godfrey Hounsfield, United Kingdom, Physiology or Medicine, 1979
Peter D. Mitchell, United Kingdom, Chemistry, 1978
James Meade, United Kingdom, Economics, 1977
Nevill Francis Mott, United Kingdom, Physics, 1977
Amnesty International, United Kingdom, Peace, 1977
